State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Anantapur,"Mousambi(Sweet Lime)",Mousambi,Medium,08/07/2025,420,2110,1500
"Andhra Pradesh",Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,08/07/2025,700,1500,1100
"Andhra Pradesh","East Godavari",Ambajipeta,Banana,"Banana - Ripe",Medium,08/07/2025,800,1760,1280
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Chakkarakeli(Red),Large,08/07/2025,1500,2200,1700
"Andhra Pradesh",Guntur,Guntur,"Dry Chillies",White,FAQ,08/07/2025,4700,7000,6400
"Andhra Pradesh",Guntur,Tenali,Lemon,Lemon,FAQ,08/07/2025,1000,1600,1300
"Andhra Pradesh",Kurnool,Adoni,Cotton,Bunny,FAQ,08/07/2025,6751,8149,8071
"Andhra Pradesh",Kurnool,Yemmiganur,Groundnut,TMV-2,FAQ,08/07/2025,5250,6110,6110
"Andhra Pradesh",Visakhapatnam,Anakapally,Gur(Jaggery),"NO 2",FAQ,08/07/2025,3600,3600,3600
Assam,Barpeta,"Barpeta Road","Bitter gourd","Bitter Gourd",Local,08/07/2025,1200,1500,1500
Assam,Barpeta,"Barpeta Road",Brinjal,Brinjal,Local,08/07/2025,1500,1800,1800
Assam,Barpeta,"Barpeta Road",Lemon,Lemon,Local,08/07/2025,400.2,533.6,466.9
Assam,Barpeta,"Barpeta Road",Tomato,Tomato,Local,08/07/2025,2300,3000,2400
Assam,Cachar,Sonabarighat,"Bitter gourd","Bitter Gourd",Local,08/07/2025,2300,2400,2300
Assam,Cachar,Sonabarighat,Cabbage,Cabbage,Local,08/07/2025,1700,1900,1800
Assam,Darrang,Balugaon,Ginger(Green),"Green Ginger",Local,08/07/2025,3000,4000,3600
Assam,Darrang,Balugaon,"Green Chilli","Green Chilly",Local,08/07/2025,3000,4000,3000
Assam,Dhubri,Bilasipara,"Bitter gourd","Bitter Gourd",Local,08/07/2025,1400,1600,1600
Assam,Dhubri,Bilasipara,Brinjal,Brinjal,Local,08/07/2025,2000,2400,2400
Assam,Dhubri,Bilasipara,Cabbage,Cabbage,Local,08/07/2025,2000,2400,2000
Assam,Dhubri,Bilasipara,Ginger(Green),"Green Ginger",Local,08/07/2025,4600,5000,5000
Assam,Dhubri,Bilasipara,Pumpkin,Pumpkin,Local,08/07/2025,700,800,800
Assam,Goalpara,Simlitola,"Bhindi(Ladies Finger)",Bhindi,Local,08/07/2025,1000,1200,1200
Assam,Goalpara,Simlitola,"Bitter gourd","Bitter Gourd",Local,08/07/2025,2000,2500,2400
Assam,Goalpara,Simlitola,Capsicum,Capsicum,Local,08/07/2025,2000,2400,2400
Assam,Golaghat,Golaghat,Lemon,Lemon,Local,08/07/2025,1000.5,1100.55,1100.55
Assam,Jorhat,Jorhat,Brinjal,Brinjal,Local,08/07/2025,2500,2700,2700
Assam,Jorhat,Jorhat,"Green Chilli","Green Chilly",Local,08/07/2025,3600,4000,4000
Assam,Kamrup,Pamohi(Garchuk),"Bitter gourd","Bitter Gourd",Local,08/07/2025,2800,3000,2800
Assam,Kamrup,Pamohi(Garchuk),Tomato,Tomato,Local,08/07/2025,3000,3500,3300
Assam,"Karbi Anglong",Diphu,"Green Chilli","Green Chilly",Local,08/07/2025,7000,8000,7000
Assam,Kokrajhar,Gossaigaon,Lemon,Lemon,Local,08/07/2025,667,800.4,800.4
Assam,MORIGAON,Boralimari,Lemon,Lemon,Local,08/07/2025,667,867.1,800.4
Assam,Nalbari,Mukalmua,Brinjal,Brinjal,Local,08/07/2025,2000,2400,2400
Assam,Sibsagar,Sibsagar,Cabbage,Cabbage,Local,08/07/2025,2800,3000,3000
Bihar,Muzaffarpur,Muzaffarpur,Wheat,"147 Average",FAQ,08/07/2025,2300,2570,2450
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,Other,FAQ,08/07/2025,800,1500,1200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,08/07/2025,800,2400,2000
Chattisgarh,Bilaspur,Takhatpur,Paddy(Dhan)(Common),D.B.,FAQ,08/07/2025,2000,2000,2000
Chattisgarh,Durg,Durg,Potato,Local,Non-FAQ,08/07/2025,1800,2000,1800
Chattisgarh,Gariyaband,Rajim,Paddy(Dhan)(Common),MTU-1008,Non-FAQ,08/07/2025,1546,1886,1870
Chattisgarh,Gariyaband,Rajim,Paddy(Dhan)(Common),Sugandha,Non-FAQ,08/07/2025,1764,1764,1764
Chattisgarh,Kabirdham,Kawardha,"Arhar Dal(Tur Dal)",Medium,FAQ,08/07/2025,4501,6191,6191
Chattisgarh,Kabirdham,Kawardha,Wheat,Deshi,FAQ,08/07/2025,2462,2499,2472
Chattisgarh,Rajnandgaon,Rajnandgaon,Tomato,Deshi,Non-FAQ,08/07/2025,2100,3000,2500
Chattisgarh,Surajpur,Surajpur,"Bengal Gram(Gram)(Whole)","Desi (F.A.Q. Split)",FAQ,08/07/2025,5600,5600,5600
Goa,"North Goa",Mapusa,Chikoos(Sapota),Sapota,Medium,08/07/2025,5000,5000,5000
Goa,"North Goa",Mapusa,Mango,Other,Medium,08/07/2025,1500,5000,3250
Goa,"North Goa",Mapusa,"Mousambi(Sweet Lime)",Mousambi,Medium,08/07/2025,4000,4000,4000
Goa,"North Goa",Mapusa,Potato,Potato,FAQ,08/07/2025,1600,2000,1800
